Entity,Code,Year,Share of violent deaths (prehistoric archeological sites) (%)
Bogebakken (Denmark); 4300 - 3800 BCE,,2019,12
British Columbia (30 sites); 3500 BCE - 1674 CE,,2019,23
British Columbia; 500 - 1774 CE,,2019,27.6
Brittany; 6000 BCE,,2019,8
CA-Ven-110 (S. California); 100 - 1100 CE,,2019,10
Calumnata (Algeria); 6300 - 5300 BCE,,2019,4
Central California (2 sites); 2240 BCE - 1770 CE,,2019,4
Central California; 1500 BCE - 500 CE,,2019,5
Central California; 415 BCE - 227 CE,,2019,8
Columnata (Algeria); ca. 6000 BCE,,2019,1.7
Crow Creek (South Dakota); 1325 CE,,2019,60
Gobero (Niger); 14000 - 6000 BCE,,2019,0
Ile Teviec (France); 4600 BCE,,2019,12
Illinois; 1300 CE,,2019,16.3
Kentucky; 2500 - 3000 BCE,,2019,5.6
N. British Columbia; 1500 BCE - 500 CE,,2019,32.4
Northeast Plains; 1325 - 1650 CE,,2019,15
"Nubia (near site 117), 12.000 - 10.000 BCE",,2019,3
Nubia (site 117); 12000 - 10000 BCE,,2019,46
Nubia: Qadan burials; 10000 BCE,,2019,21.4
S. California (28 sites); 3500 - 1380 CE,,2019,6
Sarai Nahar Rai (N. India); 1140 - 854 BCE,,2019,30
Skateholm 1 (Sweden); 4100 BCE,,2019,7
Vasiliv'ka III (Ukraine); 9000 BCE,,2019,21
Vedbaek (Denmark); 4100 BCE,,2019,13.6
"Volos'ke, (Ukraine), 'Epipalaeolithic'; ca. 7500 BCE",,2019,22